name_product;price;description;image_01;image_02;image_03
Memory pillow Lovely;ˆ 20,50;"The extension procedure may last for several hours, so it is important to provide the client with comfortable conditions.The orthopedic pillow gently affects on the body pressure, normalizes the muscle tone of the neck, by holding it in the correct position.Pillow reduces stress in the neck and back muscles.With ""memory effect"".";http://www.lovely-professional.com/upload/resize_cache/webp/iblock/134/134cfdcb6b8252e033cab5fc24d17b50.webp
Lashmaker bag Lovely;ˆ 4,00;This handy tote bag offers a large storage space for desired stuff.It's a stylish and durable product perfect for everyday activities.;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/f31/f310408d3a167999110b68290f4c81c7.webp
T-shirt black Lovely;ˆ 20,50;Branded t-shirt available in different sizes.Perfect for every occasion.Color: black;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/62f/62f7040c8cf0aa4c74f5c5f102ba5100.webp
Lovely Tablet Stand;ˆ 10,50;The Lovely tray stand is specially designed for the convenient work of a lash technician.The stand is made of high quality textured eco-leather, has silicone legs, and it's is ideal for working with tablets #1, #2, #3.;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/cae/caede89514c1efffd13ca3ee2ac60edc.webp
Branded Small Package (20_30);ˆ 0,50;The branded package Lovely.The optimal size of the package is suitable for small goods that are necessary for lash technicians. High-quality printing will retain a presentable look for a long time. ;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/1aa/1aa4415be532f3a93cb0e56a8c9d7336.webp
Branded scotch tape Lovely;ˆ 4,50;Adhesive tape Lovely not only prevents unauthorized opening of the package and theft of products, but also improves the appearance of the packaged products.Storage: protect from direct sunlight.Width: 5 cmWinding: 50 m;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/fcf/fcf994c612a0785ef53c47084ee0498c.webp
Set of legs for Lovely stand (4 pcs.);ˆ 0,50;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/06d/06d684d0c3cadfede1f1703ef0b41a5f.webp
Coin box;ˆ 4,50;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/448/448775abc82da64930e91f2d237c28df.webp
Selfie Led Ring;ˆ 14,50;The ring light is made from quality plastic that is resistant and shockproof. 36 highlight LED beads, provide supplemental or side lighting for creative videography and photography.It consists of three light settings, Low, Medium, and High.Easy to use:  add batteries (2*AAA).Post videos or pictures via social media.It also can be a flashlight in a dark place or at night.Note: It may not clip onto a phone with one of the huge box cases.;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/a73/a73e528dd44dd9c571a73e28f840ecac.webp
Branded price tags Lovely;ˆ 0,50;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/038/038b8d99886c919c709c144fb16a7d7d.webp
False training eyelashes for mannequin (10 pairs);ˆ 5,50;False eyelashes for mannequin (10 pairs)Ideal for students and new lash stylist who enjoy practical working.;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/33d/33deb91e7be20bc8ab8020207a4de159.webp
