name_product;categ_product;price_new;price_old;Артикул;Висота;Ширина;Глибина;Ціновий діапазон;Серія;Тип кухні;Можливість індивідуального замовлення;Гарантія;Матеріал корпуса;Матеріал фасада;Упаковка;Наявність;Спосіб оплати;images
"Кухня ""Фарбований високий глянець з друком"" KX-6744";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6744;2140 мм;3400 мм;620 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/11d/11da9dcf897e0f2f697c8f218087d8cc.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6745";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6745;3800 мм;600 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/910/910dcd1e0cb1a2780eec0d845d683707.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6746";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6746;2140 мм;3400 мм;620 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/0da/0dabb2ecd8948d74e5aa886980861a0a.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6747";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6747;2140 мм;3600 мм;620 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/d99/d9908842f6885280fa8e26858389f1c4.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6748";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6748;2140 мм;3000 мм;620 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/abf/abfaef65d857729dbff370fdb975c69c.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6749";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6749;2140 мм;3000 мм;1700 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/e76/e7651c9a321669c3f079c2e2e118fe6a.jpg
"Кухня ""Фарбований високий глянець з друком"" KX-6750";Кухні посекційно;від 11 125 грн/м.пог.;від 13 567 грн/м.пог.;KX-6750;2140 мм;2600 мм;2100 мм;Преміум;Фарбований високий глянець з друком;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/41f/41fbb357747851dd903ce836f8677e63.jpg
"Кухня ""Хай-тек"" KX-6763";Кухні посекційно;від 7 584 грн/м.пог.;від 9 249 грн/м.пог.;KX-6763;3500мм;600мм;Середній;Хай-тек;Є;12 міс.;ЛДСП;МДФ;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/49b/49b9e7dc292e43145d8e5b7510576dc5.jpg
"Кухня ""Хай-тек"" KX-6764";Кухні посекційно;від 7 584 грн/м.пог.;від 9 249 грн/м.пог.;KX-6764;3000мм;600мм;Середній;Хай-тек;Є;12 міс.;ЛДСП;МДФ;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/a69/a69a99945d66ece34a5535eb54983203.jpg
"Кухня ""Хай-тек"" KX-6765";Кухні посекційно;від 7 584 грн/м.пог.;від 9 249 грн/м.пог.;KX-6765;2140мм;2000мм;600мм;Середній;Хай-тек;Є;12 міс.;ЛДСП;МДФ;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/1d1/1d107d975ec43a481c9d2c40b817411f.jpg
"Кухня ""Хай-тек"" KX-6766";Кухні посекційно;від 8 549 грн/м.пог.;від 10 425 грн/м.пог.;KX-6766;2140мм;4300;3050мм;Середній;Хай-тек;Є;12 міс.;ЛДСП;МДФ;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/a73/a739492cc85d1855611701bab231f20e.jpg
